Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-22741,6/14/2016,9:08 PM,June,Tuesday,FOLLOW UP,LB518,BPD,NO REPORT NEEDED
B16-22740,6/14/2016,9:06 PM,June,Tuesday,DOMESTIC IP,LB413,BPD,REPORT NEEDED
B16-22739,6/14/2016,9:05 PM,June,Tuesday,BURGLARY IP,LB513,BPD,NO REPORT NEEDED
B16-22738,6/14/2016,8:38 PM,June,Tuesday,SERVICE IP,LB329,BPD,NO REPORT NEEDED
B16-22736,6/14/2016,8:28 PM,June,Tuesday,WARRANT SERVICE,LB517,BPD,REPORT NEEDED
B16-22737,6/14/2016,8:27 PM,June,Tuesday,THEFT NP,LB213,BPD,REPORT NEEDED
B16-22735,6/14/2016,8:23 PM,June,Tuesday,BURGLARY IP,LB301,BPD,NO REPORT NEEDED
B16-22734,6/14/2016,8:19 PM,June,Tuesday,ALARM,LB222,BPD,NO REPORT NEEDED
B16-22732,6/14/2016,7:30 PM,June,Tuesday,DRUGS IP,LB220,BPD,NO REPORT NEEDED
B16-22731,6/14/2016,7:30 PM,June,Tuesday,DOMESTIC IP,LB304,BPD,NO REPORT NEEDED
B16-22730,6/14/2016,7:18 PM,June,Tuesday,ACCIDENT PD IP,LB304,BPD,NO REPORT NEEDED
B16-22729,6/14/2016,7:15 PM,June,Tuesday,SUSP ACT IP,LB309,BPD,NO REPORT NEEDED
B16-22728,6/14/2016,7:11 PM,June,Tuesday,WELFARE CHK IP,LB329,BPD,REPORT NEEDED
B16-22727,6/14/2016,7:03 PM,June,Tuesday,NOISE,LB218,BPD,NO REPORT NEEDED
B16-22725,6/14/2016,7:02 PM,June,Tuesday,WELFARE CHK IP,LB101,BPD,NO REPORT NEEDED
B16-22723,6/14/2016,7:01 PM,June,Tuesday,ASSIGNED DETAIL,LB101,BPD,NO REPORT NEEDED
B16-22722,6/14/2016,6:58 PM,June,Tuesday,WARRANT SERVICE,LB102,BPD,REPORT NEEDED
B16-22733,6/14/2016,6:54 PM,June,Tuesday,SERVICE IP,LB329,BPD,NO REPORT NEEDED
B16-22721,6/14/2016,6:39 PM,June,Tuesday,TRAFFIC STOP,,BPD,NO REPORT NEEDED
B16-22726,6/14/2016,6:27 PM,June,Tuesday,NOISE,LB524,BPD,NO REPORT NEEDED
B16-22724,6/14/2016,6:26 PM,June,Tuesday,ACCIDENT PD IP,LB304,BPD,NO REPORT NEEDED
B16-22720,6/14/2016,6:24 PM,June,Tuesday,ASSIGNED DETAIL,LB101,BPD,NO REPORT NEEDED
B16-22719,6/14/2016,6:12 PM,June,Tuesday,TRAFFIC STOP,,BPD,NO REPORT NEEDED
B16-22718,6/14/2016,6:12 PM,June,Tuesday,TRAFFIC STOP,,BPD,NO REPORT NEEDED
B16-22717,6/14/2016,6:06 PM,June,Tuesday,MOTORIST ASSIST,,BPD,NO REPORT NEEDED
B16-22714,6/14/2016,6:00 PM,June,Tuesday,ALCOHOL RELATED,LB104,BPD,REPORT NEEDED
B16-22716,6/14/2016,5:38 PM,June,Tuesday,ALARM,LB409,BPD,NO REPORT NEEDED
B16-22715,6/14/2016,5:15 PM,June,Tuesday,ACCIDENT LSA NP,LB409,BPD,REPORT NEEDED
B16-22713,6/14/2016,5:14 PM,June,Tuesday,ACCIDENT PD IP,LB414,BPD,REPORT NEEDED
B16-22712,6/14/2016,5:13 PM,June,Tuesday,ATL,LB408,BPD,NO REPORT NEEDED
B16-22711,6/14/2016,5:10 PM,June,Tuesday,ACCIDENT PD IP,LB304,BPD,NO REPORT NEEDED
B16-22709,6/14/2016,5:05 PM,June,Tuesday,ACCIDENT PD IP,LB414,BPD,REPORT NEEDED
B16-22710,6/14/2016,5:04 PM,June,Tuesday,WELFARE CHK IP,LB310,BPD,REPORT NEEDED
B16-22708,6/14/2016,4:52 PM,June,Tuesday,TRAFFIC STOP,LB519,BPD,NO REPORT NEEDED
B16-22707,6/14/2016,4:40 PM,June,Tuesday,SUSP ACT IP,LB519,BPD,NO REPORT NEEDED
B16-22706,6/14/2016,4:32 PM,June,Tuesday,TRESPASS IP,LB221,BPD,NO REPORT NEEDED
B16-22704,6/14/2016,4:17 PM,June,Tuesday,PANHANDLING,LB104,BPD,NO REPORT NEEDED
B16-22703,6/14/2016,4:15 PM,June,Tuesday,ACCIDENT PD IP,LB101,BPD,NO REPORT NEEDED
B16-22705,6/14/2016,4:14 PM,June,Tuesday,SERVICE IP,LB327,BPD,REPORT NEEDED
B16-22701,6/14/2016,4:11 PM,June,Tuesday,TRAFFIC STOP,,BPD,NO REPORT NEEDED
B16-22702,6/14/2016,4:09 PM,June,Tuesday,MOTORIST ASSIST,LB201,BPD,NO REPORT NEEDED
B16-22698,6/14/2016,3:51 PM,June,Tuesday,DOMESTIC IP,LB404,BPD,NO REPORT NEEDED
B16-22699,6/14/2016,3:49 PM,June,Tuesday,ACCIDENT PD IP,LB201,BPD,NO REPORT NEEDED
B16-22697,6/14/2016,3:26 PM,June,Tuesday,TRESPASS NP,LB102,BPD,NO REPORT NEEDED
B16-22700,6/14/2016,3:26 PM,June,Tuesday,FRAUD,LB310,BPD,NO REPORT NEEDED
B16-22696,6/14/2016,3:14 PM,June,Tuesday,DISTURBANCE IP,LB301,BPD,REPORT NEEDED
B16-22695,6/14/2016,3:04 PM,June,Tuesday,TRAFFIC HAZARD,LB412,BPD,NO REPORT NEEDED
B16-22694,6/14/2016,2:56 PM,June,Tuesday,EXTRA PATROL,LB433,BPD,NO REPORT NEEDED
B16-22693,6/14/2016,2:55 PM,June,Tuesday,EXTRA PATROL,LB102,BPD,NO REPORT NEEDED
B16-22692,6/14/2016,2:41 PM,June,Tuesday,ACCIDENT PD IP,LMN11,BPD,NO REPORT NEEDED
B16-22690,6/14/2016,2:37 PM,June,Tuesday,SUSP ACT IP,LB517,BPD,REPORT NEEDED
B16-22691,6/14/2016,2:36 PM,June,Tuesday,SUSP ACT IP,LB433,BPD,NO REPORT NEEDED
B16-22689,6/14/2016,2:35 PM,June,Tuesday,ALARM,LB318,BPD,NO REPORT NEEDED
B16-22687,6/14/2016,2:34 PM,June,Tuesday,FOLLOW UP,LMN06,BPD,NO REPORT NEEDED
B16-22688,6/14/2016,2:31 PM,June,Tuesday,PANHANDLING,LB102,BPD,NO REPORT NEEDED
B16-22686,6/14/2016,2:27 PM,June,Tuesday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-22685,6/14/2016,2:18 PM,June,Tuesday,DISTURBANCE IP,LB410,BPD,NO REPORT NEEDED
B16-22684,6/14/2016,2:17 PM,June,Tuesday,ASSIGNED DETAIL,LB410,BPD,NO REPORT NEEDED
B16-22683,6/14/2016,1:52 PM,June,Tuesday,SUSP ACT IP,LB410,BPD,NO REPORT NEEDED
B16-22682,6/14/2016,1:47 PM,June,Tuesday,DISTURBANCE NP,LB212,BPD,REPORT NEEDED
B16-22681,6/14/2016,1:46 PM,June,Tuesday,THEFT NP,LB104,BPD,REPORT NEEDED
B16-22680,6/14/2016,1:32 PM,June,Tuesday,VANDALISM NP,LB102,BPD,REPORT NEEDED
B16-22679,6/14/2016,1:30 PM,June,Tuesday,THEFT NP,LB221,BPD,REPORT NEEDED
B16-22677,6/14/2016,1:11 PM,June,Tuesday,ACCIDENT PI,LB521,BPD,REPORT NEEDED
B16-22678,6/14/2016,1:07 PM,June,Tuesday,ACCIDENT PD IP,LB406,BPD,REPORT NEEDED
B16-22676,6/14/2016,1:06 PM,June,Tuesday,ACCIDENT PD IP,LB101,BPD,NO REPORT NEEDED
B16-22675,6/14/2016,1:01 PM,June,Tuesday,SUSP ACT IP,LB519,BPD,NO REPORT NEEDED
B16-22674,6/14/2016,12:49 PM,June,Tuesday,THEFT NP,LB513,BPD,REPORT NEEDED
B16-22673,6/14/2016,12:43 PM,June,Tuesday,SERVICE IP,LB405,BPD,NO REPORT NEEDED
B16-22671,6/14/2016,12:14 PM,June,Tuesday,VANDALISM NP,LB411,BPD,NO REPORT NEEDED
B16-22669,6/14/2016,12:14 PM,June,Tuesday,ASSAULT NP,LB410,BPD,NO REPORT NEEDED
B16-22672,6/14/2016,12:13 PM,June,Tuesday,FRAUD,LB333,BPD,REPORT NEEDED
B16-22670,6/14/2016,12:13 PM,June,Tuesday,SUSP ACT IP,LB512,BPD,NO REPORT NEEDED
B16-22668,6/14/2016,11:56 AM,June,Tuesday,THEFT NP,LB520,BPD,REPORT NEEDED
B16-22667,6/14/2016,11:50 AM,June,Tuesday,FOLLOW UP,LB329,BPD,NO REPORT NEEDED
B16-22666,6/14/2016,11:38 AM,June,Tuesday,TRESPASS IP,LB104,BPD,NO REPORT NEEDED
B16-22664,6/14/2016,11:29 AM,June,Tuesday,MOTORIST ASSIST,LB311,BPD,NO REPORT NEEDED
B16-22665,6/14/2016,11:27 AM,June,Tuesday,TRESPASS IP,LB329,BPD,NO REPORT NEEDED
B16-22663,6/14/2016,11:19 AM,June,Tuesday,PARKING,LB102,BPD,NO REPORT NEEDED
B16-22662,6/14/2016,11:19 AM,June,Tuesday,FOLLOW UP,LMS02,BPD,NO REPORT NEEDED
B16-22661,6/14/2016,11:17 AM,June,Tuesday,FOLLOW UP,LB214,BPD,NO REPORT NEEDED
B16-22660,6/14/2016,10:50 AM,June,Tuesday,TRAFFIC STOP,LMS27,BPD,NO REPORT NEEDED
B16-22659,6/14/2016,10:40 AM,June,Tuesday,ATL,LB311,BPD,NO REPORT NEEDED
B16-22657,6/14/2016,10:23 AM,June,Tuesday,TRAFFIC STOP,LB412,BPD,NO REPORT NEEDED
B16-22658,6/14/2016,10:21 AM,June,Tuesday,FRAUD,LB222,BPD,REPORT NEEDED
B16-22656,6/14/2016,9:29 AM,June,Tuesday,FOLLOW UP,LB511,BPD,NO REPORT NEEDED
B16-22655,6/14/2016,9:28 AM,June,Tuesday,ACCIDENT PD IP,LB520,BPD,REPORT NEEDED
B16-22654,6/14/2016,9:23 AM,June,Tuesday,FOLLOW UP,LB415,BPD,NO REPORT NEEDED
B16-22653,6/14/2016,9:23 AM,June,Tuesday,SERVICE IP,LB104,BPD,NO REPORT NEEDED
B16-22652,6/14/2016,8:52 AM,June,Tuesday,DRUGS IP,LB301,BPD,NO REPORT NEEDED
B16-22651,6/14/2016,8:47 AM,June,Tuesday,VANDALISM NP,LB104,BPD,REPORT NEEDED
B16-22650,6/14/2016,8:45 AM,June,Tuesday,MENTAL HEALTH,LB314,BPD,REPORT NEEDED
B16-22649,6/14/2016,8:42 AM,June,Tuesday,TRAFFIC STOP,,BPD,NO REPORT NEEDED
B16-22648,6/14/2016,8:37 AM,June,Tuesday,THEFT NP,LB518,BPD,REPORT NEEDED
B16-22647,6/14/2016,8:33 AM,June,Tuesday,SUSP ACT NP,LB104,BPD,NO REPORT NEEDED
B16-22646,6/14/2016,8:22 AM,June,Tuesday,WELFARE CHK IP,LB410,BPD,NO REPORT NEEDED
B16-22645,6/14/2016,8:08 AM,June,Tuesday,FOLLOW UP,LB327,BPD,NO REPORT NEEDED
B16-22644,6/14/2016,8:01 AM,June,Tuesday,FOLLOW UP,LB212,BPD,NO REPORT NEEDED
B16-22643,6/14/2016,7:46 AM,June,Tuesday,FOLLOW UP,LB415,BPD,NO REPORT NEEDED
B16-22642,6/14/2016,7:41 AM,June,Tuesday,ATL,LB409,BPD,NO REPORT NEEDED
B16-22641,6/14/2016,7:28 AM,June,Tuesday,ALARM,LB306,BPD,NO REPORT NEEDED
B16-22640,6/14/2016,7:12 AM,June,Tuesday,SEX OFFENSE NP,LB518,BPD,REPORT NEEDED
B16-22639,6/14/2016,6:43 AM,June,Tuesday,ALARM,LB307,BPD,NO REPORT NEEDED
B16-22638,6/14/2016,6:30 AM,June,Tuesday,ALARM,,BPD,NO REPORT NEEDED
B16-22637,6/14/2016,6:25 AM,June,Tuesday,ALARM,LB305,BPD,NO REPORT NEEDED
B16-22636,6/14/2016,6:00 AM,June,Tuesday,ASSIGNED DETAIL,LB410,BPD,NO REPORT NEEDED
B16-22635,6/14/2016,5:41 AM,June,Tuesday,ALARM,LB221,BPD,NO REPORT NEEDED
B16-22634,6/14/2016,5:39 AM,June,Tuesday,ASSIGNED DETAIL,LB503,BPD,NO REPORT NEEDED
B16-22633,6/14/2016,4:58 AM,June,Tuesday,TRAFFIC STOP,LB5,BPD,NO REPORT NEEDED
B16-22632,6/14/2016,4:47 AM,June,Tuesday,BURGLARY NP,LB511,BPD,REPORT NEEDED
B16-22631,6/14/2016,4:29 AM,June,Tuesday,SERVICE IP,LB406,BPD,REPORT NEEDED
B16-22630,6/14/2016,4:12 AM,June,Tuesday,ANIMAL,LB524,BPD,NO REPORT NEEDED
B16-22629,6/14/2016,4:05 AM,June,Tuesday,SUSP ACT IP,LB202,BPD,NO REPORT NEEDED
B16-22628,6/14/2016,3:48 AM,June,Tuesday,TRAFFIC STOP,LB305,BPD,NO REPORT NEEDED
B16-22627,6/14/2016,3:42 AM,June,Tuesday,EXTRA PATROL,LB327,BPD,NO REPORT NEEDED
B16-22626,6/14/2016,3:16 AM,June,Tuesday,ALARM,LB512,BPD,NO REPORT NEEDED
B16-22625,6/14/2016,3:13 AM,June,Tuesday,SUSP ACT IP,LB310,BPD,NO REPORT NEEDED
B16-22624,6/14/2016,3:07 AM,June,Tuesday,TRAFFIC STOP,LB509,BPD,NO REPORT NEEDED
B16-22623,6/14/2016,2:39 AM,June,Tuesday,DRUNK,LB329,BPD,NO REPORT NEEDED
B16-22621,6/14/2016,1:49 AM,June,Tuesday,DRUNK,LB104,BPD,NO REPORT NEEDED
B16-22622,6/14/2016,1:48 AM,June,Tuesday,TRESPASS IP,LB329,BPD,NO REPORT NEEDED
B16-22620,6/14/2016,1:23 AM,June,Tuesday,DOMESTIC IP,LB326,BPD,NO REPORT NEEDED
B16-22619,6/14/2016,12:52 AM,June,Tuesday,SUSP ACT NP,,BPD,NO REPORT NEEDED
B16-22618,6/14/2016,12:50 AM,June,Tuesday,TRAFFIC STOP,LB305,BPD,NO REPORT NEEDED
B16-22617,6/14/2016,12:48 AM,June,Tuesday,WELFARE CHK IP,LB422,BPD,NO REPORT NEEDED
B16-22616,6/14/2016,12:42 AM,June,Tuesday,TRAFFIC STOP,LB304,BPD,NO REPORT NEEDED
B16-22615,6/14/2016,12:25 AM,June,Tuesday,ALARM,LB512,BPD,NO REPORT NEEDED
B16-22613,6/14/2016,12:06 AM,June,Tuesday,TRAFFIC STOP,LB213,BPD,NO REPORT NEEDED
B16-22614,6/14/2016,12:03 AM,June,Tuesday,RUNAWAY,LB518,BPD,REPORT NEEDED
B16-22611,6/13/2016,11:59 PM,June,Monday,TRAFFIC STOP,LB310,BPD,NO REPORT NEEDED
B16-22610,6/13/2016,11:58 PM,June,Monday,TRAFFIC STOP,LB221,BPD,NO REPORT NEEDED
B16-22612,6/13/2016,11:55 PM,June,Monday,BURGLARY IP,LB420,BPD,NO REPORT NEEDED
B16-22609,6/13/2016,11:46 PM,June,Monday,ALARM,LB422,BPD,NO REPORT NEEDED
B16-22608,6/13/2016,11:43 PM,June,Monday,SUSP ACT IP,LB313,BPD,NO REPORT NEEDED
B16-22607,6/13/2016,11:39 PM,June,Monday,ALARM,LB512,BPD,NO REPORT NEEDED
B16-22606,6/13/2016,11:37 PM,June,Monday,TRAFFIC STOP,LB220,BPD,NO REPORT NEEDED
B16-22603,6/13/2016,11:28 PM,June,Monday,DISTURBANCE IP,LB326,BPD,NO REPORT NEEDED
B16-22604,6/13/2016,11:26 PM,June,Monday,DRUGS IP,LB104,BPD,NO REPORT NEEDED
B16-22602,6/13/2016,11:26 PM,June,Monday,TRAFFIC STOP,LB307,BPD,NO REPORT NEEDED
B16-22605,6/13/2016,11:24 PM,June,Monday,ROV NP,LB518,BPD,NO REPORT NEEDED
B16-22601,6/13/2016,11:21 PM,June,Monday,ALARM,LB523,BPD,NO REPORT NEEDED
B16-22600,6/13/2016,11:17 PM,June,Monday,TRAFFIC STOP,LB103,BPD,NO REPORT NEEDED
B16-22598,6/13/2016,11:05 PM,June,Monday,TRAFFIC STOP,LB103,BPD,NO REPORT NEEDED
B16-22597,6/13/2016,11:04 PM,June,Monday,TRAFFIC STOP,LMS19,BPD,NO REPORT NEEDED
B16-22599,6/13/2016,11:00 PM,June,Monday,HARASSMENT IP,LB104,BPD,NO REPORT NEEDED
B16-22595,6/13/2016,10:56 PM,June,Monday,EXTRA PATROL,LB102,BPD,NO REPORT NEEDED
B16-22596,6/13/2016,10:54 PM,June,Monday,TRESPASS IP,LB412,BPD,NO REPORT NEEDED
B16-22593,6/13/2016,10:46 PM,June,Monday,PROPERTY,LB410,BPD,NO REPORT NEEDED
B16-22594,6/13/2016,10:41 PM,June,Monday,NOISE,LB329,BPD,NO REPORT NEEDED
B16-22592,6/13/2016,10:40 PM,June,Monday,DOMESTIC IP,LB404,BPD,NO REPORT NEEDED
B16-22591,6/13/2016,10:39 PM,June,Monday,TRAFFIC STOP,,BPD,NO REPORT NEEDED
B16-22590,6/13/2016,10:30 PM,June,Monday,ALARM,LB311,BPD,NO REPORT NEEDED
B16-22589,6/13/2016,10:28 PM,June,Monday,DOMESTIC IP,LB104,BPD,NO REPORT NEEDED
B16-22588,6/13/2016,10:14 PM,June,Monday,EXTRA PATROL,LB213,BPD,NO REPORT NEEDED
B16-22587,6/13/2016,10:10 PM,June,Monday,DOMESTIC IP,LB221,BPD,NO REPORT NEEDED
B16-22585,6/13/2016,10:01 PM,June,Monday,TRAFFIC STOP,LB328,BPD,NO REPORT NEEDED
B16-22586,6/13/2016,9:59 PM,June,Monday,JUVENILE,LB517,BPD,NO REPORT NEEDED
B16-22584,6/13/2016,9:51 PM,June,Monday,THEFT NP,LB104,BPD,REPORT NEEDED
B16-22582,6/13/2016,9:38 PM,June,Monday,ALARM,LB221,BPD,NO REPORT NEEDED
B16-22583,6/13/2016,9:36 PM,June,Monday,FOLLOW UP,LB503,BPD,NO REPORT NEEDED
B16-22581,6/13/2016,9:15 PM,June,Monday,TRAFFIC STOP,LB406,BPD,NO REPORT NEEDED
B16-22579,6/13/2016,8:58 PM,June,Monday,TRAFFIC STOP,LB314,BPD,NO REPORT NEEDED
B16-22580,6/13/2016,8:52 PM,June,Monday,DRUGS NP,LB104,BPD,NO REPORT NEEDED
B16-22578,6/13/2016,8:39 PM,June,Monday,WELFARE CHK IP,,BPD,NO REPORT NEEDED
B16-22577,6/13/2016,8:32 PM,June,Monday,DISTURBANCE IP,LB506,BPD,NO REPORT NEEDED
B16-22576,6/13/2016,8:10 PM,June,Monday,NOISE,LB413,BPD,NO REPORT NEEDED
B16-22575,6/13/2016,8:03 PM,June,Monday,DRUNK,LB104,BPD,NO REPORT NEEDED
B16-22574,6/13/2016,7:51 PM,June,Monday,FIGHT IP,LB410,BPD,REPORT NEEDED
B16-22573,6/13/2016,7:41 PM,June,Monday,SERVICE IP,LB409,BPD,NO REPORT NEEDED
B16-22571,6/13/2016,7:27 PM,June,Monday,THEFT NP,LB329,BPD,REPORT NEEDED
B16-22572,6/13/2016,7:16 PM,June,Monday,NOISE,LB513,BPD,NO REPORT NEEDED
B16-22570,6/13/2016,7:13 PM,June,Monday,ACCIDENT PI,LB305,BPD,
B16-22569,6/13/2016,7:01 PM,June,Monday,JUVENILE,LB104,BPD,NO REPORT NEEDED
B16-22568,6/13/2016,6:53 PM,June,Monday,TRESPASS IP,LB102,BPD,NO REPORT NEEDED
B16-22567,6/13/2016,6:46 PM,June,Monday,ACCIDENT LSA NP,LB403,BPD,REPORT NEEDED
B16-22566,6/13/2016,6:43 PM,June,Monday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-22565,6/13/2016,6:36 PM,June,Monday,DISTURBANCE IP,LB310,BPD,NO REPORT NEEDED
B16-22562,6/13/2016,6:30 PM,June,Monday,WELFARE CHK IP,LB421,BPD,NO REPORT NEEDED
B16-22564,6/13/2016,6:30 PM,June,Monday,SUSP ACT IP,LB513,BPD,NO REPORT NEEDED
B16-22561,6/13/2016,6:06 PM,June,Monday,DRUGS NP,LB102,BPD,NO REPORT NEEDED
B16-22560,6/13/2016,6:04 PM,June,Monday,WELFARE CHK IP,LB433,BPD,NO REPORT NEEDED
B16-22563,6/13/2016,6:03 PM,June,Monday,SERIAL MOTOR CH,LB219,BPD,NO REPORT NEEDED
B16-22559,6/13/2016,6:00 PM,June,Monday,ACCIDENT PD IP,LB312,BPD,NO REPORT NEEDED
B16-22558,6/13/2016,5:53 PM,June,Monday,DISTURBANCE IP,LB316,BPD,NO REPORT NEEDED
B16-22557,6/13/2016,5:49 PM,June,Monday,WELFARE CHK IP,LB103,BPD,REPORT NEEDED
B16-22555,6/13/2016,5:42 PM,June,Monday,ACCIDENT PI,LB403,BPD,REPORT NEEDED
B16-22554,6/13/2016,5:42 PM,June,Monday,TRAFFIC STOP,LMN17,BPD,NO REPORT NEEDED
B16-22552,6/13/2016,5:30 PM,June,Monday,CIVIL IP,LB412,BPD,NO REPORT NEEDED
B16-22550,6/13/2016,5:21 PM,June,Monday,FOLLOW UP,LB513,BPD,NO REPORT NEEDED
B16-22553,6/13/2016,5:17 PM,June,Monday,ACCIDENT LSA IP,LB406,BPD,NO REPORT NEEDED
B16-22551,6/13/2016,5:13 PM,June,Monday,ALARM,LB323,BPD,NO REPORT NEEDED
B16-22556,6/13/2016,5:12 PM,June,Monday,SEX OFFENSE NP,LB411,BPD,REPORT NEEDED
B16-22549,6/13/2016,5:12 PM,June,Monday,EXTRA PATROL,LB102,BPD,NO REPORT NEEDED
B16-22548,6/13/2016,5:09 PM,June,Monday,MOTORIST ASSIST,LB103,BPD,NO REPORT NEEDED
B16-22547,6/13/2016,5:08 PM,June,Monday,ACCIDENT PD IP,LB521,BPD,REPORT NEEDED
B16-22545,6/13/2016,5:00 PM,June,Monday,SERVICE IP,LB104,BPD,
B16-22546,6/13/2016,4:48 PM,June,Monday,HARASSMENT NP,LB218,BPD,NO REPORT NEEDED
B16-22544,6/13/2016,4:45 PM,June,Monday,ACCIDENT LSA IP,LMS06,BPD,NO REPORT NEEDED
B16-22542,6/13/2016,4:35 PM,June,Monday,ALARM,LB302,BPD,NO REPORT NEEDED
B16-22543,6/13/2016,4:34 PM,June,Monday,TRESPASS IP,LB511,BPD,NO REPORT NEEDED
B16-22540,6/13/2016,4:33 PM,June,Monday,EXTRA PATROL,LB411,BPD,NO REPORT NEEDED
B16-22539,6/13/2016,4:30 PM,June,Monday,SERVICE IP,LB104,BPD,NO REPORT NEEDED
B16-22538,6/13/2016,4:18 PM,June,Monday,FOLLOW UP,LB404,BPD,NO REPORT NEEDED
B16-22537,6/13/2016,4:08 PM,June,Monday,VANDALISM IP,LB103,BPD,NO REPORT NEEDED
B16-22536,6/13/2016,4:03 PM,June,Monday,WELFARE CHK IP,LB428,BPD,NO REPORT NEEDED
B16-22535,6/13/2016,4:00 PM,June,Monday,ATL,LB517,BPD,NO REPORT NEEDED
B16-22534,6/13/2016,3:36 PM,June,Monday,TRAFFIC STOP,LIU07,BPD,NO REPORT NEEDED
B16-22533,6/13/2016,3:26 PM,June,Monday,DRUGS NP,LB404,BPD,REPORT NEEDED
B16-22532,6/13/2016,3:16 PM,June,Monday,TRAFFIC STOP,LB423,BPD,NO REPORT NEEDED
B16-22530,6/13/2016,2:53 PM,June,Monday,WARRANT SERVICE,LB410,BPD,REPORT NEEDED
B16-22529,6/13/2016,2:51 PM,June,Monday,NOISE,LB316,BPD,NO REPORT NEEDED
B16-22531,6/13/2016,2:46 PM,June,Monday,WARRANT SERVICE,LB513,BPD,NO REPORT NEEDED
B16-22528,6/13/2016,2:45 PM,June,Monday,TRAFFIC STOP,LB516,BPD,NO REPORT NEEDED
B16-22526,6/13/2016,2:27 PM,June,Monday,TRAFFIC HAZARD,LB519,BPD,NO REPORT NEEDED
B16-22525,6/13/2016,2:25 PM,June,Monday,TRAFFIC STOP,LB516,BPD,NO REPORT NEEDED
B16-22527,6/13/2016,2:17 PM,June,Monday,ABANDONED VEH,LB314,BPD,NO REPORT NEEDED
B16-22524,6/13/2016,2:15 PM,June,Monday,WELFARE CHK IP,LB329,BPD,REPORT NEEDED
B16-22523,6/13/2016,2:08 PM,June,Monday,FOLLOW UP,LB425,BPD,NO REPORT NEEDED
B16-22541,6/13/2016,2:05 PM,June,Monday,CIVIL NP,LB329,BPD,NO REPORT NEEDED
B16-22521,6/13/2016,2:00 PM,June,Monday,ASSIGNED DETAIL,LB410,BPD,NO REPORT NEEDED
B16-22520,6/13/2016,1:49 PM,June,Monday,WEAPONS IP,LB301,BPD,NO REPORT NEEDED
B16-22519,6/13/2016,1:44 PM,June,Monday,WARRANT SERVICE,LB104,BPD,REPORT NEEDED
B16-22522,6/13/2016,1:42 PM,June,Monday,SERVICE IP,LB410,BPD,NO REPORT NEEDED
B16-22518,6/13/2016,1:30 PM,June,Monday,SUSP ACT IP,LB314,BPD,NO REPORT NEEDED
B16-22517,6/13/2016,1:05 PM,June,Monday,TRESPASS NP,LB403,BPD,NO REPORT NEEDED
B16-22514,6/13/2016,1:03 PM,June,Monday,THEFT NP,LB410,BPD,REPORT NEEDED
B16-22512,6/13/2016,12:46 PM,June,Monday,THEFT IP,LB422,BPD,REPORT NEEDED
B16-22513,6/13/2016,12:45 PM,June,Monday,FRAUD,LB423,BPD,NO REPORT NEEDED
B16-22509,6/13/2016,12:33 PM,June,Monday,EXTRA PATROL,LB410,BPD,NO REPORT NEEDED
B16-22508,6/13/2016,12:32 PM,June,Monday,TRAFFIC STOP,LB422,BPD,REPORT NEEDED
B16-22510,6/13/2016,12:29 PM,June,Monday,ATL,LB423,BPD,NO REPORT NEEDED
B16-22511,6/13/2016,12:25 PM,June,Monday,MOTORIST ASSIST,LB210,BPD,NO REPORT NEEDED
B16-22516,6/13/2016,12:23 PM,June,Monday,MISSING PERSON,LB423,BPD,NO REPORT NEEDED
B16-22507,6/13/2016,12:21 PM,June,Monday,DOMESTIC IP,LB314,BPD,REPORT NEEDED
B16-22515,6/13/2016,12:15 PM,June,Monday,PARKING,LB301,BPD,NO REPORT NEEDED
B16-22506,6/13/2016,12:11 PM,June,Monday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-22505,6/13/2016,11:59 AM,June,Monday,THEFT NP,LB212,BPD,REPORT NEEDED
B16-22504,6/13/2016,11:58 AM,June,Monday,TRESPASS IP,LB102,BPD,NO REPORT NEEDED
B16-22503,6/13/2016,11:55 AM,June,Monday,ACCIDENT PD IP,LB414,BPD,REPORT NEEDED
B16-22502,6/13/2016,11:53 AM,June,Monday,EXTRA PATROL,LB102,BPD,NO REPORT NEEDED
B16-22501,6/13/2016,11:47 AM,June,Monday,INDECENT EXP,LB213,BPD,REPORT NEEDED
B16-22500,6/13/2016,11:35 AM,June,Monday,THEFT NP,LB102,BPD,REPORT NEEDED
B16-22499,6/13/2016,11:11 AM,June,Monday,FOLLOW UP,LMN17,BPD,NO REPORT NEEDED
B16-22498,6/13/2016,10:56 AM,June,Monday,TRESPASS IP,LB102,BPD,NO REPORT NEEDED
B16-22496,6/13/2016,10:26 AM,June,Monday,FOLLOW UP,LB301,BPD,NO REPORT NEEDED
B16-22495,6/13/2016,10:22 AM,June,Monday,THEFT NP,LB212,BPD,NO REPORT NEEDED
B16-22494,6/13/2016,9:09 AM,June,Monday,TOW IN,LB314,BPD,NO REPORT NEEDED
B16-22493,6/13/2016,8:58 AM,June,Monday,THEFT NP,LB415,BPD,REPORT NEEDED
B16-22491,6/13/2016,8:39 AM,June,Monday,THEFT NP,LB301,BPD,REPORT NEEDED
B16-22490,6/13/2016,8:37 AM,June,Monday,THEFT NP,LB104,BPD,REPORT NEEDED
